code,name,sector,big,middle,small
49430,코메론,기계,기계,일반기계,줄자
183300,코미코,반도체및관련장비,반도체,반도체_소재,세정 및 코팅
41960,코미팜,제약,헬스케어,제약_동물의약품,동물의약품
89890,코세스,반도체및관련장비,반도체,반도체_장비(후공정),"Solar Ball Attach System, 레이저 응용장비"
360350,코셈,전자장비및기기,전자제품,산업용_전자제품,주사전자현미경(SEM)
82660,코스나인,개인생활용품,화장품,화장품_OEMODM,OEM&ODM
192820,코스맥스,개인생활용품,화장품,화장품_OEMODM,OEM&ODM
44820,코스맥스비티아이,식료품,지주사,지주사,지주사
222040,코스맥스엔비티,식료품,음식료,건기식_OEMODM,OEM/ODM
241710,코스메카코리아,개인생활용품,화장품,화장품_OEMODM,OEM&ODM
5070,코스모신소재,화학,배터리,배터리_소재,"양극활물질, NCM계열"
5420,코스모화학,화학,기초소재,석유화학,이산화티타늄
355150,코스텍시스,반도체및관련장비,통신,통신장비,RF 통신용 패키지 및 방열소재
71950,코아스,내구소비재,건설,가구_사무용,사무용 가구
166480,코아스템켐온,바이오,헬스케어,줄기세포,세포치료제
45970,코아시아,휴대폰및관련부품,반도체,비메모리_디자인솔루션,삼성 파운드리 공식 디자인 솔루션 파트너
196450,코아시아씨엠,휴대폰및관련부품,스마트폰,카메라_렌즈,렌즈모듈 등 
384470,코어라인소프트,의료장비및서비스,헬스케어,의료기기_SW,의료영상 소프트웨어
29960,코엔텍,상업서비스,건설,건설_폐기물,폐기물 소각처리
2020,코오롱,복합산업,지주사,지주사,지주사
138490,코오롱ENP,화학,모름,모름,모름
3070,코오롱글로벌,건설,건설,건설,"토목 및 건축, 주택 공급업"
450140,코오롱모빌리티그룹,자동차,Auto,완성차,수입차 판매
102940,코오롱생명과학,제약,헬스케어,제약_원료의약품,원료의약사업
120110,코오롱인더,화학,기초소재,석유화학_대형사,"산업소재, 화학, 필름/전자재료, 패션사업"
950160,코오롱티슈진,바이오,헬스케어,바이오_기술이전,무릎 골관절염 치료제
21240,코웨이,내구소비재,전자제품,가정용_전자제품,정수기 등 
33290,코웰패션,섬유및의복,전자제품,MLCC,콘덴서(Condenser)
